month,snapshot_date,is_partial_month,snapshot_count,top5_share,top10_share,hhi,btc_share,eth_share,stable_like_share,productized_wrapped_share,clean_risk_count,entries,exits,rank_persistence
2025-02,2025-02-28,False,100,0.820076802446542,0.890779350297371,0.3706019026786447,0.5948874979094307,0.0984431593470483,0.0770937804563556,0.0228910222003646,79,5.0,5.0,0.95
2025-03,2025-03-31,False,100,0.8215306134174805,0.8938513199582399,0.3838117148959557,0.6079849717744192,0.0810343899634775,0.0842971557226169,0.0205766108555988,78,8.0,8.0,0.92
2025-04,2025-04-30,False,100,0.8272135763823991,0.8987145699531466,0.4099331947605767,0.6307093295917169,0.073021364710938,0.0782471452188303,0.0193658006453123,78,7.0,7.0,0.93
2025-05,2025-05-31,False,100,0.845432254511978,0.9130440498200348,0.4195560914677325,0.6362781364518263,0.0937901935764362,0.0730811033522648,0.0202922508779338,76,7.0,7.0,0.93
2025-06,2025-06-30,False,100,0.8395636142894725,0.9040004440193512,0.4193904210758939,0.6369385747548386,0.0892992608565621,0.0718858713318352,0.0233777836796737,75,8.0,8.0,0.92
2025-07,2025-07-31,False,100,0.8313504552691177,0.8970825389704902,0.3767864319999335,0.5975274527428129,0.1171358546741979,0.0646150555280969,0.0317040771993775,73,7.0,7.0,0.93
2025-08,2025-08-31,False,100,0.816511570315792,0.8901594762559533,0.3406536179073011,0.5617333095195093,0.1367723599355794,0.0702280436936516,0.0359734554742282,72,5.0,5.0,0.95
2025-09,2025-09-30,False,100,0.8144393753229922,0.8871359994062497,0.3432391417346507,0.5662430005059712,0.126410299839985,0.0714149887164344,0.0339670233395575,74,9.0,9.0,0.91
2025-10,2025-10-31,False,100,0.8263290657750909,0.897135235177983,0.3540510834768179,0.5762039895573529,0.1225045401813449,0.0786307365718039,0.034809370632997,70,8.0,8.0,0.92
2025-11,2025-11-30,False,100,0.8192135378693158,0.8906259896269912,0.3442253512901531,0.5686064024906204,0.1132426037937422,0.0921441571767404,0.0318910180487449,72,8.0,8.0,0.92
2025-12,2025-12-31,False,100,0.8206691579384596,0.8917052082739743,0.3458969478300965,0.5696614994118548,0.1156894491874984,0.0954301805147212,0.0328936947844714,72,5.0,5.0,0.95
2026-01,2026-01-31,False,100,0.8186267140886286,0.8897179323567053,0.3452317848261815,0.5698080295915293,0.1105591336463784,0.0987002795884488,0.0335964622970535,72,4.0,4.0,0.96
2026-02,2026-02-28,False,100,0.802042844822126,0.8792878539196225,0.3291448904129571,0.5559521850171487,0.098319059443878,0.1238330854189309,0.0304330689344892,75,8.0,8.0,0.92
2026-03,2026-03-31,False,100,0.7980631739818321,0.8766847567959186,0.3257892870999924,0.552683889624647,0.1011781838599617,0.123544033545247,0.0307853252449372,74,8.0,8.0,0.92
2026-04,2026-04-30,False,100,0.8126118797501333,0.8861534379778705,0.3494065673466623,0.5744177753932596,0.102967521440512,0.1142796223965506,0.0291291609265437,72,8.0,8.0,0.92
2026-05,2026-05-31,False,100,0.8045754220260829,0.878930561946528,0.3420430629436969,0.5690650409023931,0.0938419388649906,0.115255560285848,0.0285940149056323,71,5.0,5.0,0.95
2026-06,2026-06-16,True,100,0.7989326444583575,0.8764263453139387,0.3336205102158617,0.5611198273299185,0.0914869735415883,0.1248307827361989,0.0281344509065885,72,4.0,4.0,0.96
