feature_id,frequency,observations,first_valid_date,last_valid_date,missing_pct
btc_funding,weekly,328,2020-01-05,2026-04-12,0.0
btc_funding_z,weekly,324,2020-02-02,2026-04-12,0.0122
eth_oi,weekly,328,2020-01-05,2026-04-12,0.0
eth_funding_z,weekly,324,2020-02-02,2026-04-12,0.0122
btc_leverage_ratio_percentile,weekly,324,2020-02-02,2026-04-12,0.0122
btc_exchange_netflow_scaled,weekly,328,2020-01-05,2026-04-12,0.0
btc_mvrv,weekly,328,2020-01-05,2026-04-12,0.0
btc_mvrv_percentile_lagged,weekly,324,2020-02-02,2026-04-12,0.0122
btc_mvrv_z_365_lagged,weekly,311,2020-05-03,2026-04-12,0.0518
btc_realized_cap_usd,weekly,328,2020-01-05,2026-04-12,0.0
btc_realized_price_gap_lag1,weekly,276,2021-01-03,2026-04-12,0.1585
btc_dominance,weekly,328,2020-01-05,2026-04-12,0.0
eth_dominance,weekly,328,2020-01-05,2026-04-12,0.0
fear_greed_altme,weekly,328,2020-01-05,2026-04-12,0.0
stablecoin_to_tvl,weekly,328,2020-01-05,2026-04-12,0.0
stablecoin_share_crypto_proxy,weekly,328,2020-01-05,2026-04-12,0.0
btc_etf_net_flow_usd,weekly,118,2024-01-14,2026-04-12,0.6402
eth_etf_net_flow_usd,weekly,90,2024-07-28,2026-04-12,0.7256
btc_total_liq_usd,weekly,328,2020-01-05,2026-04-12,0.0
eth_total_liq_usd,weekly,328,2020-01-05,2026-04-12,0.0
btc_mcap_lag1,weekly,327,2020-01-12,2026-04-12,0.003
eth_mcap_lag1,weekly,327,2020-01-12,2026-04-12,0.003
stablecoin_supply_growth,weekly,327,2020-01-12,2026-04-12,0.003
defi_tvl_growth,weekly,327,2020-01-12,2026-04-12,0.003
stablecoin_supply_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
defi_tvl_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
btc_oi_growth,weekly,327,2020-01-12,2026-04-12,0.003
btc_oi_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
btc_funding_z_lag1,weekly,323,2020-02-09,2026-04-12,0.0152
eth_oi_growth,weekly,327,2020-01-12,2026-04-12,0.003
eth_oi_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
eth_funding_z_lag1,weekly,323,2020-02-09,2026-04-12,0.0152
btc_exchange_netflow_scaled_lag1,weekly,327,2020-01-12,2026-04-12,0.003
fear_greed_change,weekly,327,2020-01-12,2026-04-12,0.003
fear_greed_altme_lag1,weekly,327,2020-01-12,2026-04-12,0.003
fear_greed_change_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
btc_etf_flow_intensity_lag0,weekly,118,2024-01-14,2026-04-12,0.6402
eth_etf_flow_intensity_lag0,weekly,90,2024-07-28,2026-04-12,0.7256
btc_etf_flow_intensity_lag1,weekly,117,2024-01-21,2026-04-12,0.6433
eth_etf_flow_intensity_lag1,weekly,89,2024-08-04,2026-04-12,0.7287
btc_etf_flow_intensity,weekly,118,2024-01-14,2026-04-12,0.6402
eth_etf_flow_intensity,weekly,90,2024-07-28,2026-04-12,0.7256
btc_total_liq_to_lag_oi_pct,weekly,327,2020-01-12,2026-04-12,0.003
btc_total_liq_to_lag_mcap_bps,weekly,327,2020-01-12,2026-04-12,0.003
eth_total_liq_to_lag_oi_pct,weekly,327,2020-01-12,2026-04-12,0.003
eth_total_liq_to_lag_mcap_bps,weekly,327,2020-01-12,2026-04-12,0.003
btc_realized_vol_30d,weekly,328,2020-01-05,2026-04-12,0.0
eth_realized_vol_30d,weekly,328,2020-01-05,2026-04-12,0.0
btc_ret_fwd_1d,weekly,327,2020-01-05,2026-04-05,0.003
btc_ret_fwd_7d,weekly,327,2020-01-05,2026-04-05,0.003
source,monthly,15600,2020-01-01,2026-06-01,0.0
snapshot_date,monthly,15600,2020-01-01,2026-06-01,0.0
month,monthly,15600,2020-01-01,2026-06-01,0.0
asset_key,monthly,15600,2020-01-01,2026-06-01,0.0
token_id,monthly,15600,2020-01-01,2026-06-01,0.0
coingecko_id,monthly,15600,2020-01-01,2026-06-01,0.0
symbol,monthly,15600,2020-01-01,2026-06-01,0.0
asset_name,monthly,15600,2020-01-01,2026-06-01,0.0
price_usd,monthly,15600,2020-01-01,2026-06-01,0.0
market_cap_usd,monthly,15600,2020-01-01,2026-06-01,0.0
source_rank_full_market,monthly,15600,2020-01-01,2026-06-01,0.0
rank_full_market,monthly,15600,2020-01-01,2026-06-01,0.0
is_partial_month,monthly,15600,2020-01-01,2026-06-01,0.0
asset_class_final,monthly,15600,2020-01-01,2026-06-01,0.0
in_full_top100,monthly,15600,2020-01-01,2026-06-01,0.0
