snapshot_date,month,universe_type,asset_class,asset_count,market_cap_usd,total_market_cap_usd,market_cap_share
2023-06-30,2023-06,full_top100,wrapped_assets,1,4796021465.695171,1160599089590.533,0.004132367075513767
2023-07-31,2023-07,clean_risk_top100,base_assets,8,896883910990.9323,1029194280080.3475,0.8714427667834629
2023-07-31,2023-07,clean_risk_top100,risk_assets,92,132310369089.41528,1029194280080.3475,0.12855723321653714
2023-07-31,2023-07,ex_stable_top100,base_assets,8,896883910990.9323,1049031137284.7708,0.8549640512219262
2023-07-31,2023-07,ex_stable_top100,lst_restaking,2,15715085634.441065,1049031137284.7708,0.014980571191734833
2023-07-31,2023-07,ex_stable_top100,risk_assets,87,130738153821.50589,1049031137284.7708,0.12462752455556105
2023-07-31,2023-07,ex_stable_top100,tokenized_commodities,2,966589010.8331658,1049031137284.7708,0.000921411173108749
2023-07-31,2023-07,ex_stable_top100,wrapped_assets,1,4727397827.058365,1049031137284.7708,0.004506441857669152
2023-07-31,2023-07,full_top100,base_assets,8,896883910990.9323,1169144143390.7712,0.7671286009180824
2023-07-31,2023-07,full_top100,lst_restaking,2,15715085634.441065,1169144143390.7712,0.013441529620859163
2023-07-31,2023-07,full_top100,risk_assets,80,128276523568.5211,1169144143390.7712,0.1097183134292504
2023-07-31,2023-07,full_top100,stablecoins,7,122574636358.98517,1169144143390.7712,0.10484133804364976
2023-07-31,2023-07,full_top100,tokenized_commodities,2,966589010.8331658,1169144143390.7712,0.0008267492218964963
2023-07-31,2023-07,full_top100,wrapped_assets,1,4727397827.058365,1169144143390.7712,0.004043468766261693
2023-08-31,2023-08,clean_risk_top100,base_assets,8,823910145372.9406,940568881658.2313,0.8759700235036265
2023-08-31,2023-08,clean_risk_top100,risk_assets,92,116658736285.29082,940568881658.2313,0.12402997649637358
2023-08-31,2023-08,ex_stable_top100,base_assets,8,823910145372.9406,960047188129.7616,0.8581975506620404
2023-08-31,2023-08,ex_stable_top100,lst_restaking,4,16108622278.717625,960047188129.7616,0.016778990114119638
2023-08-31,2023-08,ex_stable_top100,risk_assets,85,114622559940.05801,960047188129.7616,0.11939263127612582
2023-08-31,2023-08,ex_stable_top100,tokenized_commodities,2,959035413.0019271,960047188129.7616,0.0009989461193779386
2023-08-31,2023-08,ex_stable_top100,wrapped_assets,1,4446825125.043467,960047188129.7616,0.004631881828336157
2023-08-31,2023-08,full_top100,base_assets,8,823910145372.9406,1077889202215.12,0.7643736885755615
2023-08-31,2023-08,full_top100,lst_restaking,2,15470183902.4747,1077889202215.12,0.01435229508810613
2023-08-31,2023-08,full_top100,risk_assets,80,113024145463.1108,1077889202215.12,0.10485692335616696
2023-08-31,2023-08,full_top100,stablecoins,7,120078866938.54861,1077889202215.12,0.11140186458105353
2023-08-31,2023-08,full_top100,tokenized_commodities,2,959035413.0019271,1077889202215.12,0.0008897346879726209
2023-08-31,2023-08,full_top100,wrapped_assets,1,4446825125.043467,1077889202215.12,0.00412549371113933
2023-09-30,2023-09,clean_risk_top100,base_assets,8,811236040975.7496,927297571827.2991,0.874838957441846
2023-09-30,2023-09,clean_risk_top100,risk_assets,92,116061530851.54947,927297571827.2991,0.12516104255815402
2023-09-30,2023-09,ex_stable_top100,base_assets,8,811236040975.7496,946836475554.8964,0.8567857934500488
2023-09-30,2023-09,ex_stable_top100,lst_restaking,4,16241582084.712088,946836475554.8964,0.01715352387031104
2023-09-30,2023-09,ex_stable_top100,risk_assets,85,114064875354.74109,946836475554.8964,0.12046945623624504
2023-09-30,2023-09,ex_stable_top100,tokenized_commodities,2,918845001.0711626,946836475554.8964,0.0009704368439467551
2023-09-30,2023-09,ex_stable_top100,wrapped_assets,1,4375132138.62241,946836475554.8964,0.0046207895994483635
2023-09-30,2023-09,full_top100,base_assets,8,811236040975.7496,1063709956857.6063,0.7626477835859403
2023-09-30,2023-09,full_top100,lst_restaking,3,15919846853.376215,1063709956857.6063,0.014966341859209772
2023-09-30,2023-09,full_top100,risk_assets,78,111787540794.50453,1063709956857.6063,0.10509212598211017
2023-09-30,2023-09,full_top100,stablecoins,8,119472551094.28232,1063709956857.6063,0.11231684946075533
2023-09-30,2023-09,full_top100,tokenized_commodities,2,918845001.0711626,1063709956857.6063,0.0008638116012240768
2023-09-30,2023-09,full_top100,wrapped_assets,1,4375132138.62241,1063709956857.6063,0.004113087510760311
2023-10-31,2023-10,clean_risk_top100,base_assets,8,992665833944.6692,1122790134039.3083,0.8841063025496058
2023-10-31,2023-10,clean_risk_top100,risk_assets,92,130124300094.63919,1122790134039.3083,0.11589369745039424
2023-10-31,2023-10,ex_stable_top100,base_assets,8,992665833944.6692,1144644455784.9448,0.8672263504425436
2023-10-31,2023-10,ex_stable_top100,lst_restaking,4,17700613234.242214,1144644455784.9448,0.015463852679130781
2023-10-31,2023-10,ex_stable_top100,risk_assets,85,127647990137.14293,1144644455784.9448,0.11151758914483867
2023-10-31,2023-10,ex_stable_top100,tokenized_commodities,2,975319502.70275,1144644455784.9448,0.0008520720104601568
2023-10-31,2023-10,ex_stable_top100,wrapped_assets,1,5654698966.18779,1144644455784.9448,0.004940135723026812
2023-10-31,2023-10,full_top100,base_assets,8,992665833944.6692,1261951317963.041,0.7866118286931744
2023-10-31,2023-10,full_top100,lst_restaking,2,16963248379.434849,1261951317963.041,0.01344207826242918
2023-10-31,2023-10,full_top100,risk_assets,79,125379775245.54169,1261951317963.041,0.09935389223089959
2023-10-31,2023-10,full_top100,stablecoins,8,120312441924.50465,1261951317963.041,0.09533841774396266
2023-10-31,2023-10,full_top100,tokenized_commodities,2,975319502.70275,1261951317963.041,0.0007728661865317013
2023-10-31,2023-10,full_top100,wrapped_assets,1,5654698966.18779,1261951317963.041,0.004480916883002455
2023-11-30,2023-11,clean_risk_top100,base_assets,8,1106558810081.21,1260962949479.6423,0.8775506136305196
2023-11-30,2023-11,clean_risk_top100,risk_assets,92,154404139398.43243,1260962949479.6423,0.1224493863694805
2023-11-30,2023-11,ex_stable_top100,base_assets,8,1106558810081.21,1285673079678.1294,0.8606844364807257
2023-11-30,2023-11,ex_stable_top100,lst_restaking,2,19962112551.333576,1285673079678.1294,0.015526585153615512
2023-11-30,2023-11,ex_stable_top100,risk_assets,87,152122623531.71323,1285673079678.1294,0.11832138817886535
2023-11-30,2023-11,ex_stable_top100,tokenized_commodities,2,973436947.2373238,1285673079678.1294,0.0007571418913749252
2023-11-30,2023-11,ex_stable_top100,wrapped_assets,1,6056096566.635378,1285673079678.1294,0.004710448295418562
2023-11-30,2023-11,full_top100,base_assets,8,1106558810081.21,1407269945184.1584,0.7863159544250788
2023-11-30,2023-11,full_top100,lst_restaking,2,19962112551.333576,1407269945184.1584,0.01418499174209344
2023-11-30,2023-11,full_top100,risk_assets,82,149633458617.6721,1407269945184.1584,0.10632889526969236
2023-11-30,2023-11,full_top100,stablecoins,7,125059467367.30736,1407269945184.1584,0.08886672226268699
2023-11-30,2023-11,full_top100,wrapped_assets,1,6056096566.635378,1407269945184.1584,0.004303436300448287
2023-12-31,2023-12,clean_risk_top100,base_assets,8,1272646973195.593,1475073747525.9243,0.862768370279891
2023-12-31,2023-12,clean_risk_top100,risk_assets,92,202426774330.3314,1475073747525.9243,0.13723162972010913
2023-12-31,2023-12,ex_stable_top100,base_assets,8,1272646973195.593,1502564368870.3774,0.8469833303396942
2023-12-31,2023-12,ex_stable_top100,lst_restaking,3,23248832687.86234,1502564368870.3774,0.015472769865653562
2023-12-31,2023-12,ex_stable_top100,risk_assets,88,199986935883.8483,1502564368870.3774,0.1330970839100875
2023-12-31,2023-12,ex_stable_top100,wrapped_assets,1,6681627103.073897,1502564368870.3774,0.004446815884564813
2023-12-31,2023-12,full_top100,base_assets,8,1272646973195.593,1625408500741.5955,0.782970541014733
2023-12-31,2023-12,full_top100,lst_restaking,3,23248832687.86234,1625408500741.5955,0.014303378305979709
2023-12-31,2023-12,full_top100,risk_assets,81,195394132362.5462,1625408500741.5955,0.12021232340879065
2023-12-31,2023-12,full_top100,stablecoins,7,127436935392.52011,1625408500741.5955,0.07840302012348083
2023-12-31,2023-12,full_top100,wrapped_assets,1,6681627103.073897,1625408500741.5955,0.0041107371470159
2024-01-31,2024-01,clean_risk_top100,base_assets,8,1279185127738.4426,1469973586968.3508,0.8702096004164352
2024-01-31,2024-01,clean_risk_top100,risk_assets,92,190788459229.9083,1469973586968.3508,0.1297903995835648
2024-01-31,2024-01,ex_stable_top100,base_assets,8,1279185127738.4426,1498322623305.5237,0.8537447862305977
2024-01-31,2024-01,ex_stable_top100,lst_restaking,2,23498538612.193073,1498322623305.5237,0.01568323019801422
2024-01-31,2024-01,ex_stable_top100,risk_assets,89,188891062634.73492,1498322623305.5237,0.1260683511659278
2024-01-31,2024-01,ex_stable_top100,wrapped_assets,1,6747894320.153051,1498322623305.5237,0.0045036324054603056
2024-01-31,2024-01,full_top100,base_assets,8,1279185127738.4426,1626979265565.6047,0.7862332082601836
2024-01-31,2024-01,full_top100,lst_restaking,2,23498538612.193073,1626979265565.6047,0.014443047375913556
