asset,frequency,model_family,regime,purpose,target,feature_id,feature_label,block,n,n_full,n_reduced,same_support,sample_start,sample_end,feature_list,row_index_hash,correlation,univariate_r2,standardized_beta,hac_t,p_value,fdr_q_value,drop_feature_delta_r2
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,stablecoin_supply_growth_lag1,"Stablecoin supply growth, t-1",liquidity_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,0.024683598278744837,0.0006092800239866358,0.02324432243596757,1.650662415356231,0.09880752637821436,0.26091680093775343,0.0005261929767144125
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,defi_tvl_growth_lag1,"DeFi TVL growth, t-1",liquidity_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,-0.006684277519402228,4.467956595677336e-05,-0.03058719661088129,-1.0653593295919035,0.2867133538746548,0.4013986954245167,0.0006597524780104225
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,fear_greed_altme_lag1,"Fear & Greed state, t-1",sentiment_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,0.0387520485736212,0.001501721268652445,0.041683911136342004,1.5900590907334602,0.11182148611618004,0.26091680093775343,0.001397588754444068
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,fear_greed_change_lag1,"Fear & Greed change, t-1",sentiment_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,0.011124783952536684,0.00012376081799048144,0.021903781466659514,0.9432602766254273,0.3455477888533868,0.4031390869956179,0.00037646078147568485
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,btc_oi_growth_lag1,"BTC OI growth, t-1",lagged_leverage_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,-0.04317710584427762,0.001864262469087885,-0.04683904365176052,-1.2795876242107198,0.20069020463373988,0.35120785810904476,0.0021410336224025883
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,btc_funding_z_lag1,"BTC funding z-score, t-1",lagged_leverage_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,0.00480699523523456,2.3107203191763404e-05,-3.660106693625704e-05,-0.0013569433064572925,0.9989173162181497,0.9989173162181497,1.0304742614763995e-09
BTC,daily,long_sample_lagged_state_association,full_common_sample,lagged_state_association,btc_ret,btc_exchange_netflow_scaled_lag1,"BTC exchange netflow / lag mcap, t-1",lagged_leverage_state,2263,2263,2263,True,2020-01-31,2026-04-11,stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,1167a8613df8d6f0,-0.057321044921972965,0.0032857021909468154,-0.06354210824770357,-1.844974235029115,0.06504128666222214,0.26091680093775343,0.003964181686098023
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,qqq_ret,QQQ return,equity_beta,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.4035320999949222,0.16283815572631166,0.30050263049061215,1.8727363599163938,0.06110479981474154,0.1731302661417677,0.005899300780749073
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,spy_ret,SPY return,equity_beta,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.4000461531038788,0.16003692461321206,-0.33148117932496823,-1.7722742528122983,0.07634904303970622,0.18541910452500082,0.004205450931527133
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,iwm_ret,IWM return,equity_beta,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.4545699019267657,0.20663379573770913,0.3421904557689139,5.48418190337987,4.1538718429099064e-08,2.3538607109822804e-07,0.03221472970410444
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,dxy_ret,DXY return,macro_rates_fx_vol,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,-0.001866175983910783,3.4826128029186165e-06,0.049540370323621914,1.3096988289128364,0.19029773991772503,0.32350615786013254,0.0022254283608871273
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,gold_ret,Gold return,macro_rates_fx_vol,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.13260229570115686,0.01758336882521705,0.05573508662446469,1.3481902372246755,0.177597203833459,0.32350615786013254,0.0026209580728412396
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,vix_d1,VIX change,macro_rates_fx_vol,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,-0.37306367062003476,0.1391765023364938,-0.07453003138225377,-1.1333063036115707,0.2570856455193541,0.3897358600639477,0.0012952970704761535
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,real_yield_d1,Real-yield change,macro_rates_fx_vol,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,-0.001352461034201417,1.8291508490086983e-06,0.005729170811648532,0.07086768735616027,0.9435030604476232,0.9435030604476232,5.658697564303594e-06
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,nominal_10y_d1,10Y yield change,macro_rates_fx_vol,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.08281930714875592,0.006859037636599785,0.057298235199483856,0.6447078194788215,0.5191165480258402,0.6303558083170916,0.0005693911875378488
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,btc_etf_flow_intensity_lag0,"BTC ETF flow / lag mcap, t",etf_flow_lag0,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.37625063319533397,0.14156453897988996,0.48227381684532167,8.86942226324908,7.352636500296088e-19,1.249948205050335e-17,0.13288013838968393
BTC,daily,etf_era_augmented,btc_etf_era,etf_era_market_plumbing,btc_ret,btc_etf_flow_intensity_lag1,"BTC ETF flow / lag mcap, t-1",etf_flow_lag1,435,435,435,True,2024-01-12,2026-04-10,qqq_ret|spy_ret|iwm_ret|dxy_ret|gold_ret|vix_d1|real_yield_d1|nominal_10y_d1|btc_etf_flow_intensity_lag0|btc_etf_flow_intensity_lag1|stablecoin_supply_growth_lag1|defi_tvl_growth_lag1|fear_greed_altme_lag1|fear_greed_change_lag1|btc_oi_growth_lag1|btc_funding_z_lag1|btc_exchange_netflow_scaled_lag1,9c52fc15c9846253,0.036733646707317116,0.0013493608004180313,-0.08926394659285093,-1.685324372531212,0.09192600590755205,0.1953427625535481,0.00431900332540347
