month,asset_class_final,market_cap_usd,share
2022-05-01,ETH,241204871683.00943,0.18514576940903735
2022-05-01,other risk assets,156443135783.974,0.12008374682229381
2022-05-01,productized/wrapped assets,17521904907.20575,0.01344958973225047
2022-05-01,selected majors ex BTC/ETH,129268179784.857,0.09922459873789936
2022-05-01,stable-like assets,153418898712.50525,0.11776238118997662
2022-06-01,BTC,384067866465.5609,0.4337564989937458
2022-06-01,ETH,133275228451.34706,0.15051765988038382
2022-06-01,other risk assets,114010205235.50993,0.12876023169448778
2022-06-01,productized/wrapped assets,10832500643.418882,0.012233951248452595
2022-06-01,selected majors ex BTC/ETH,94377108043.76207,0.10658711010359281
2022-06-01,stable-like assets,148882882420.11588,0.1681445480793372
2022-07-01,BTC,451726702392.36206,0.41977402269529784
2022-07-01,ETH,203433082401.512,0.18904333725840555
2022-07-01,governance/infrastructure risk assets,1225053585.5460212,0.0011383999858730657
2022-07-01,other risk assets,144209210217.21747,0.1340086383248899
2022-07-01,productized/wrapped assets,13236509187.23902,0.012300230822185152
2022-07-01,selected majors ex BTC/ETH,114128112369.61687,0.10605531304280298
2022-07-01,stable-like assets,148160093680.20322,0.13768005787054546
2022-08-01,BTC,379555151404.602,0.39743804672493926
2022-08-01,ETH,184447549243.5485,0.19313787053943576
2022-08-01,governance/infrastructure risk assets,1054972972.403182,0.001104678453046653
2022-08-01,other risk assets,126340856338.1027,0.1322934571662433
2022-08-01,productized/wrapped assets,12277223583.158785,0.012855669965323583
2022-08-01,selected majors ex BTC/ETH,102897744231.57596,0.10774581329869967
2022-08-01,stable-like assets,148431073460.54083,0.15542446385231187
2022-09-01,BTC,374830625219.6003,0.4028778393315855
2022-09-01,ETH,161267455734.36823,0.17333451364252875
2022-09-01,governance/infrastructure risk assets,1501625559.5366447,0.0016139867454981157
2022-09-01,other risk assets,123754957483.94978,0.13301509141227658
2022-09-01,productized/wrapped assets,11564053445.482073,0.012429349558354005
2022-09-01,selected majors ex BTC/ETH,110999510936.63506,0.11930520113401825
2022-09-01,stable-like assets,146464603899.02042,0.15742401817573873
2022-10-01,BTC,395548335410.141,0.39662621465075065
2022-10-01,ETH,191500820025.9781,0.1920226646148365
2022-10-01,governance/infrastructure risk assets,1585331299.0233848,0.0015896513669992347
2022-10-01,other risk assets,131671097989.74895,0.13202990506945583
2022-10-01,productized/wrapped assets,12874838382.23104,0.012909922643182414
2022-10-01,selected majors ex BTC/ETH,121756254575.2452,0.12208804345531964
2022-10-01,stable-like assets,142345702551.73062,0.14273359819945575
2022-11-01,BTC,316170903326.0224,0.3848171238126834
2022-11-01,ETH,146749281622.5983,0.17861111152709247
2022-11-01,governance/infrastructure risk assets,1206494083.4297032,0.0014684450029979266
2022-11-01,other risk assets,103055145742.2795,0.12543021625790735
2022-11-01,productized/wrapped assets,10178558212.861214,0.01238850082290555
2022-11-01,selected majors ex BTC/ETH,105729360195.00545,0.12868504933498895
2022-11-01,stable-like assets,138523651236.0939,0.16859955324142428
2022-12-01,BTC,319722045805.09534,0.4057866787549837
2022-12-01,ETH,144611517916.40677,0.18353888427446166
2022-12-01,governance/infrastructure risk assets,1173138584.035616,0.0014889308259504147
2022-12-01,other risk assets,90454253167.08855,0.1148032531804548
2022-12-01,productized/wrapped assets,9712903234.6449,0.012327478809696391
2022-12-01,selected majors ex BTC/ETH,87297696944.29565,0.11079699686264259
2022-12-01,stable-like assets,134935151355.307,0.17125777729181055
2023-01-01,BTC,439295730927.16473,0.43415213138447356
2023-01-01,ETH,188787565951.3305,0.18657710140653835
2023-01-01,governance/infrastructure risk assets,2447563787.6659226,0.002418905899385571
2023-01-01,other risk assets,129875806651.2624,0.12835512458524698
2023-01-01,productized/wrapped assets,12836983156.379307,0.012686678256868152
2023-01-01,selected majors ex BTC/ETH,104595585396.42917,0.10337090287088514
2023-01-01,stable-like assets,134008223052.26294,0.13243915559660227
2023-02-01,BTC,454364917718.867,0.4318830773883302
2023-02-01,ETH,197018105507.0608,0.1872697085303048
2023-02-01,governance/infrastructure risk assets,3705718849.185015,0.0035223609880730665
2023-02-01,other risk assets,142075183649.84714,0.13504534602553506
2023-02-01,productized/wrapped assets,13082292555.111317,0.012434984629451083
2023-02-01,selected majors ex BTC/ETH,110085979226.75165,0.10463895787652945
2023-02-01,stable-like assets,131723188563.1483,0.12520556456177634
2023-03-01,BTC,542369769760.288,0.47304926338545
2023-03-01,ETH,216024475834.15308,0.1884142975220378
2023-03-01,governance/infrastructure risk assets,2810633340.9368935,0.002451405121941835
2023-03-01,other risk assets,122351295450.2029,0.10671352537320536
2023-03-01,productized/wrapped assets,15736656612.158657,0.013725347970299957
2023-03-01,selected majors ex BTC/ETH,118423688561.59737,0.10328790755836359
2023-03-01,stable-like assets,128823199958.95403,0.11235825306870137
2023-04-01,BTC,565714356650.6621,0.47753713113899615
2023-04-01,ETH,229429843509.54,0.19366888603619167
2023-04-01,governance/infrastructure risk assets,2749811222.0779614,0.0023212014097351436
2023-04-01,other risk assets,122317296631.19075,0.103251844743276
2023-04-01,productized/wrapped assets,17862707069.66733,0.015078468114063937
2023-04-01,selected majors ex BTC/ETH,119510926739.3446,0.10088290039651863
2023-04-01,stable-like assets,127065046129.9731,0.1072595681612185
2023-05-01,BTC,537414074116.4985,0.4701245046593617
2023-05-01,ETH,228588229006.90048,0.19996671674351052
2023-05-01,governance/infrastructure risk assets,2856573753.1493664,0.002498902402081791
2023-05-01,other risk assets,111403146670.53372,0.09745436836964116
2023-05-01,productized/wrapped assets,19227661357.50735,0.016820167552025384
2023-05-01,selected majors ex BTC/ETH,117824440907.35686,0.10307165291381945
2023-05-01,stable-like assets,125817254897.28276,0.11006368735956001
2023-06-01,BTC,591688337868.8445,0.5098128571491436
2023-06-01,ETH,222892015037.67108,0.19204910380923085
2023-06-01,governance/infrastructure risk assets,2381367731.510734,0.002051843528802781
2023-06-01,other risk assets,102850985056.8253,0.08861887449275167
2023-06-01,productized/wrapped assets,20494811763.26993,0.01765882116149224
2023-06-01,selected majors ex BTC/ETH,95638211098.79651,0.08240417553018958
2023-06-01,stable-like assets,124653361033.61491,0.10740432432838927
2023-07-01,BTC,569135711632.8535,0.48679687175461256
2023-07-01,ETH,223813641443.30435,0.19143374468283814
2023-07-01,governance/infrastructure risk assets,2234961552.6753435,0.0019116219033467263
2023-07-01,other risk assets,112356156087.92711,0.0961012007998175
2023-07-01,productized/wrapped assets,21409072472.332596,0.018311747609017357
2023-07-01,selected majors ex BTC/ETH,117619963842.69304,0.10060347520671804
2023-07-01,stable-like assets,122574636358.98517,0.10484133804364977
2023-08-01,BTC,531729400483.3156,0.49330617598783183
2023-08-01,ETH,205067943948.6809,0.1902495576792636
2023-08-01,governance/infrastructure risk assets,1926046078.6000733,0.001786868329919203
2023-08-01,other risk assets,96030590731.53065,0.0890913375272548
2023-08-01,productized/wrapped assets,20876044440.520096,0.01936752348721808
2023-08-01,selected majors ex BTC/ETH,102180309593.92409,0.09479667240745902
2023-08-01,stable-like assets,120078866938.54861,0.11140186458105353
2023-09-01,BTC,524946724658.764,0.49350550991320286
2023-09-01,ETH,200591326138.499,0.18857708799782458
2023-09-01,governance/infrastructure risk assets,1891109151.4752827,0.0017778428595911287
2023-09-01,other risk assets,93403251085.42162,0.08780894686870461
2023-09-01,productized/wrapped assets,21213823993.069786,0.01994324097119416
2023-09-01,selected majors ex BTC/ETH,102191170736.09425,0.09607052192872732
2023-09-01,stable-like assets,119472551094.28232,0.11231684946075535
