date,asset,window_days,feature_id,feature_label,beta,n
2024-09-30,BTC,180,btc_oi_growth,BTC OI growth,-0.1202558256558862,179
2024-10-14,BTC,180,qqq_ret,QQQ return,0.01747940800811775,179
2024-10-14,BTC,180,spy_ret,SPY return,-0.04598561444900205,179
2024-10-14,BTC,180,vix_d1,VIX change,0.09034302901754486,179
2024-10-14,BTC,180,dxy_ret,DXY return,-0.08133245122936934,179
2024-10-14,BTC,180,real_yield_d1,Real-yield change,0.061019287205185076,179
2024-10-14,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.06754976216892354,179
2024-10-14,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.0784819194191534,179
2024-10-14,BTC,180,btc_oi_growth,BTC OI growth,-0.05585406184329935,179
2024-10-28,BTC,180,qqq_ret,QQQ return,0.013527588096341914,179
2024-10-28,BTC,180,spy_ret,SPY return,-0.039882165763008515,179
2024-10-28,BTC,180,vix_d1,VIX change,0.09551769516197299,179
2024-10-28,BTC,180,dxy_ret,DXY return,-0.09146194982686683,179
2024-10-28,BTC,180,real_yield_d1,Real-yield change,0.08092086004973875,179
2024-10-28,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,0.06906011299833434,179
2024-10-28,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.0764448344786008,179
2024-10-28,BTC,180,btc_oi_growth,BTC OI growth,-0.05109338005011478,179
2024-11-11,BTC,180,qqq_ret,QQQ return,-0.14481524166504428,179
2024-11-11,BTC,180,spy_ret,SPY return,0.1787519022423061,179
2024-11-11,BTC,180,vix_d1,VIX change,0.20093718193348514,179
2024-11-11,BTC,180,dxy_ret,DXY return,-0.043240820695784735,179
2024-11-11,BTC,180,real_yield_d1,Real-yield change,0.12220968615348947,179
2024-11-11,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.028387066450244594,179
2024-11-11,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.17650738117128628,179
2024-11-11,BTC,180,btc_oi_growth,BTC OI growth,0.06127884674996197,179
2024-11-25,BTC,180,qqq_ret,QQQ return,0.01523286451035213,179
2024-11-25,BTC,180,spy_ret,SPY return,0.037430381219200004,179
2024-11-25,BTC,180,vix_d1,VIX change,0.24323771934764013,179
2024-11-25,BTC,180,dxy_ret,DXY return,-0.010533552082452503,179
2024-11-25,BTC,180,real_yield_d1,Real-yield change,0.12499137217777981,179
2024-11-25,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.052845060587751944,179
2024-11-25,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.16341303748440772,179
2024-11-25,BTC,180,btc_oi_growth,BTC OI growth,0.14134448434515942,179
2024-12-09,BTC,180,qqq_ret,QQQ return,-0.11743740054923087,179
2024-12-09,BTC,180,spy_ret,SPY return,0.19572861175375117,179
2024-12-09,BTC,180,vix_d1,VIX change,0.2566937487627028,179
2024-12-09,BTC,180,dxy_ret,DXY return,0.03671022541487089,179
2024-12-09,BTC,180,real_yield_d1,Real-yield change,0.19275620003078045,179
2024-12-09,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.02936702905449983,179
2024-12-09,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.14512691943358466,179
2024-12-09,BTC,180,btc_oi_growth,BTC OI growth,0.07887412441808095,179
2024-12-23,BTC,180,qqq_ret,QQQ return,-0.11256200267262054,179
2024-12-23,BTC,180,spy_ret,SPY return,0.18733736983681135,179
2024-12-23,BTC,180,vix_d1,VIX change,0.14763072057615392,179
2024-12-23,BTC,180,dxy_ret,DXY return,-0.009639165795777702,179
2024-12-23,BTC,180,real_yield_d1,Real-yield change,0.1373362652285159,179
2024-12-23,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.03524998936337577,179
2024-12-23,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.10216795219770815,179
2024-12-23,BTC,180,btc_oi_growth,BTC OI growth,0.03640577997874625,179
2025-01-06,BTC,180,qqq_ret,QQQ return,-0.055901444912991545,179
2025-01-06,BTC,180,spy_ret,SPY return,0.1483711776317794,179
2025-01-06,BTC,180,vix_d1,VIX change,0.18157971359062705,179
2025-01-06,BTC,180,dxy_ret,DXY return,-0.039145904851781925,179
2025-01-06,BTC,180,real_yield_d1,Real-yield change,0.1569671030360125,179
2025-01-06,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.09448067958935104,179
2025-01-06,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.0923572601146792,179
2025-01-06,BTC,180,btc_oi_growth,BTC OI growth,0.10165519249403358,179
2025-01-20,BTC,180,qqq_ret,QQQ return,-0.2802113945614659,179
2025-01-20,BTC,180,spy_ret,SPY return,0.4351795233661662,179
2025-01-20,BTC,180,vix_d1,VIX change,0.20848854003974937,179
2025-01-20,BTC,180,dxy_ret,DXY return,-0.06933365620538944,179
2025-01-20,BTC,180,real_yield_d1,Real-yield change,0.1651561531650531,179
2025-01-20,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.08535165951388989,179
2025-01-20,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.0877284657117114,179
2025-01-20,BTC,180,btc_oi_growth,BTC OI growth,0.04215245952712578,179
2025-02-03,BTC,180,qqq_ret,QQQ return,-0.30198007488982187,179
2025-02-03,BTC,180,spy_ret,SPY return,0.2618571710373926,179
2025-02-03,BTC,180,vix_d1,VIX change,-0.01781664748114277,179
2025-02-03,BTC,180,dxy_ret,DXY return,-0.16440706573568012,179
2025-02-03,BTC,180,real_yield_d1,Real-yield change,0.1845405624148457,179
2025-02-03,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.0873920832314437,179
2025-02-03,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.05991677264323397,179
2025-02-03,BTC,180,btc_oi_growth,BTC OI growth,0.08772492531878337,179
2025-02-17,BTC,180,qqq_ret,QQQ return,-0.32123923709450114,179
2025-02-17,BTC,180,spy_ret,SPY return,0.365634789299176,179
2025-02-17,BTC,180,vix_d1,VIX change,0.0019273273176109102,179
2025-02-17,BTC,180,dxy_ret,DXY return,-0.15318840248757898,179
2025-02-17,BTC,180,real_yield_d1,Real-yield change,0.17751293399132836,179
2025-02-17,BTC,180,btc_etf_flow_intensity,BTC ETF flow / lag mcap,-0.1015940517287456,179
2025-02-17,BTC,180,stablecoin_supply_growth,Stablecoin supply growth,0.05137383979180081,179
2025-02-17,BTC,180,btc_oi_growth,BTC OI growth,0.09770105903094481,179
2025-03-03,BTC,180,qqq_ret,QQQ return,-0.28442800927804823,179
2025-03-03,BTC,180,spy_ret,SPY return,0.38279636336099676,179
2025-03-03,BTC,180,vix_d1,VIX change,-0.017752912858651118,179
2025-03-03,BTC,180,dxy_ret,DXY return,-0.05763598987704749,179
