asset_key,token_id,coingecko_id,symbol,asset_name,taxonomy_class
coingecko:susds,susds,coingecko:susds,SUSDS,sUSDS,other risk assets
coingecko:chainlink,chainlink,coingecko:chainlink,LINK,Chainlink,other risk assets
coingecko:coinbase-wrapped-btc,coinbase-wrapped-btc,coingecko:coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,productized/wrapped assets
coingecko:the-open-network,the-open-network,coingecko:the-open-network,GRAM,Gram (prev. Toncoin),other risk assets
coingecko:bitcoin-cash,bitcoin-cash,coingecko:bitcoin-cash,BCH,Bitcoin Cash,other risk assets
coingecko:usd1-wlfi,usd1-wlfi,coingecko:usd1-wlfi,USD1,USD1,stable-like assets
coingecko:ethena-usde,ethena-usde,coingecko:ethena-usde,USDE,Ethena USDe,stable-like assets
coingecko:weth,weth,coingecko:weth,WETH,WETH,productized/wrapped assets
coingecko:dai,dai,coingecko:dai,DAI,Dai,stable-like assets
coingecko:usdt0,usdt0,coingecko:usdt0,USDT0,USDT0,stable-like assets
coingecko:aave-v3-weth,aave-v3-weth,coingecko:aave-v3-weth,AWETH,Aave v3 WETH,other risk assets
coingecko:memecore,memecore,coingecko:memecore,M,MemeCore,other risk assets
coingecko:hedera-hashgraph,hedera-hashgraph,coingecko:hedera-hashgraph,HBAR,Hedera,other risk assets
coingecko:litecoin,litecoin,coingecko:litecoin,LTC,Litecoin,other risk assets
coingecko:wrapped-eeth,wrapped-eeth,coingecko:wrapped-eeth,WEETH,Wrapped eETH,productized/wrapped assets
coingecko:sui,sui,coingecko:sui,SUI,Sui,other risk assets
coingecko:near,near,coingecko:near,NEAR,NEAR Protocol,other risk assets
coingecko:lab,lab,coingecko:lab,LAB,LAB,other risk assets
coingecko:shiba-inu,shiba-inu,coingecko:shiba-inu,SHIB,Shiba Inu,other risk assets
coingecko:avalanche-2,avalanche-2,coingecko:avalanche-2,AVAX,Avalanche,other risk assets
coingecko:crypto-com-chain,crypto-com-chain,coingecko:crypto-com-chain,CRO,Cronos,other risk assets
coingecko:paypal-usd,paypal-usd,coingecko:paypal-usd,PYUSD,PayPal USD,stable-like assets
coingecko:global-dollar,global-dollar,coingecko:global-dollar,USDG,Global Dollar,other risk assets
coingecko:tether-gold,tether-gold,coingecko:tether-gold,XAUT,Tether Gold,productized/wrapped assets
coingecko:bittensor,bittensor,coingecko:bittensor,TAO,Bittensor,other risk assets
coingecko:blackrock-usd-institutional-digital-liquidity-fund,blackrock-usd-institutional-digital-liquidity-fund,coingecko:blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,other risk assets
coingecko:ondo-us-dollar-yield,ondo-us-dollar-yield,coingecko:ondo-us-dollar-yield,USDY,Ondo US Dollar Yield,other risk assets
coingecko:worldcoin-wld,worldcoin-wld,coingecko:worldcoin-wld,WLD,Worldcoin,other risk assets
coingecko:pax-gold,pax-gold,coingecko:pax-gold,PAXG,PAX Gold,productized/wrapped assets
coingecko:world-liberty-financial,world-liberty-financial,coingecko:world-liberty-financial,WLFI,World Liberty Financial,other risk assets
coingecko:mantle,mantle,coingecko:mantle,MNT,Mantle,other risk assets
coingecko:ondo-finance,ondo-finance,coingecko:ondo-finance,ONDO,Ondo,other risk assets
coingecko:uniswap,uniswap,coingecko:uniswap,UNI,Uniswap,other risk assets
coingecko:aster-2,aster-2,coingecko:aster-2,ASTER,Aster,other risk assets
coingecko:ethena-staked-usde,ethena-staked-usde,coingecko:ethena-staked-usde,SUSDE,Ethena Staked USDe,productized/wrapped assets
coingecko:polkadot,polkadot,coingecko:polkadot,DOT,Polkadot,other risk assets
coingecko:wrapped-solana,wrapped-solana,coingecko:wrapped-solana,SOL,Wrapped SOL,selected majors ex BTC/ETH
coingecko:ripple-usd,ripple-usd,coingecko:ripple-usd,RLUSD,Ripple USD,other risk assets
coingecko:staked-tao-root,staked-tao-root,coingecko:staked-tao-root,SN0,Staked TAO (Root),productized/wrapped assets
coingecko:binance-bridged-usdc-bnb-smart-chain,binance-bridged-usdc-bnb-smart-chain,coingecko:binance-bridged-usdc-bnb-smart-chain,USDC,Binance Bridged USDC (BNB Smart Chain),stable-like assets
coingecko:okb,okb,coingecko:okb,OKB,OKB,other risk assets
coingecko:htx-dao,htx-dao,coingecko:htx-dao,HTX,HTX DAO,other risk assets
coingecko:pi-network,pi-network,coingecko:pi-network,PI,Pi Network,other risk assets
coingecko:falcon-finance,falcon-finance,coingecko:falcon-finance,USDF,Falcon USD,other risk assets
coingecko:usdd,usdd,coingecko:usdd,USDD,USDD,stable-like assets
coingecko:wrapped-tron,wrapped-tron,coingecko:wrapped-tron,WTRX,Wrapped Tron,productized/wrapped assets
coingecko:internet-computer,internet-computer,coingecko:internet-computer,ICP,Internet Computer,other risk assets
coingecko:sky,sky,coingecko:sky,SKY,Sky,other risk assets
coingecko:bfusd,bfusd,coingecko:bfusd,BFUSD,BFUSD,other risk assets
coingecko:syrupusdc,syrupusdc,coingecko:syrupusdc,SYRUPUSDC,syrupUSDC,other risk assets
coingecko:bitget-token,bitget-token,coingecko:bitget-token,BGB,Bitget Token,other risk assets
coingecko:morpho,morpho,coingecko:morpho,MORPHO,Morpho,other risk assets
coingecko:pepe,pepe,coingecko:pepe,PEPE,Pepe,other risk assets
coingecko:audiera,audiera,coingecko:audiera,BEAT,Audiera,other risk assets
coingecko:bitcoin-trc20,bitcoin-trc20,coingecko:bitcoin-trc20,BTCT,Bitcoin TRC20,other risk assets
coingecko:ethereum-classic,ethereum-classic,coingecko:ethereum-classic,ETC,Ethereum Classic,other risk assets
coingecko:bridged-usdc-polygon-pos-bridge,bridged-usdc-polygon-pos-bridge,coingecko:bridged-usdc-polygon-pos-bridge,USDC.E,Polygon Bridged USDC (Polygon PoS),other risk assets
coingecko:aave,aave,coingecko:aave,AAVE,Aave,other risk assets
coingecko:wbnb,wbnb,coingecko:wbnb,WBNB,Wrapped BNB,productized/wrapped assets
coingecko:kelp-dao-restaked-eth,kelp-dao-restaked-eth,coingecko:kelp-dao-restaked-eth,RSETH,Kelp DAO Restaked ETH,productized/wrapped assets
coingecko:quant-network,quant-network,coingecko:quant-network,QNT,Quant,other risk assets
coingecko:cosmos,cosmos,coingecko:cosmos,ATOM,Cosmos Hub,other risk assets
coingecko:united-stables,united-stables,coingecko:united-stables,U,United Stables,stable-like assets
coingecko:kinetic-staked-hype,kinetic-staked-hype,coingecko:kinetic-staked-hype,KHYPE,Kinetiq Staked HYPE,productized/wrapped assets
coingecko:superstate-short-duration-us-government-securities-fund-ustb,superstate-short-duration-us-government-securities-fund-ustb,coingecko:superstate-short-duration-us-government-securities-fund-ustb,USTB,Invesco Short Duration US Government Securities Fund,other risk assets
coingecko:blockchain-capital,blockchain-capital,coingecko:blockchain-capital,BCAP,Blockchain Capital,other risk assets
coingecko:kucoin-shares,kucoin-shares,coingecko:kucoin-shares,KCS,KuCoin,other risk assets
coingecko:eutbl,eutbl,coingecko:eutbl,EUTBL,Spiko EU T-Bills Money Market Fund,other risk assets
coingecko:render-token,render-token,coingecko:render-token,RENDER,Render,other risk assets
coingecko:clbtc,clbtc,coingecko:clbtc,CLBTC,clBTC,other risk assets
coingecko:usdtb,usdtb,coingecko:usdtb,USDTB,USDtb,other risk assets
coingecko:kaspa,kaspa,coingecko:kaspa,KAS,Kaspa,other risk assets
coingecko:binance-peg-weth,binance-peg-weth,coingecko:binance-peg-weth,WETH,Binance-Peg WETH,productized/wrapped assets
coingecko:dexe,dexe,coingecko:dexe,DEXE,DeXe,other risk assets
coingecko:janus-henderson-anemoy-treasury-fund,janus-henderson-anemoy-treasury-fund,coingecko:janus-henderson-anemoy-treasury-fund,JTRSY,Janus Henderson Anemoy Treasury Fund,other risk assets
coingecko:algorand,algorand,coingecko:algorand,ALGO,Algorand,other risk assets
coingecko:stable-2,stable-2,coingecko:stable-2,STABLE,​​Stable,stable-like assets
coingecko:polygon-ecosystem-token,polygon-ecosystem-token,coingecko:polygon-ecosystem-token,POL,POL (ex-MATIC),other risk assets
coingecko:nexo,nexo,coingecko:nexo,NEXO,NEXO,other risk assets
coingecko:binance-staked-sol,binance-staked-sol,coingecko:binance-staked-sol,BNSOL,Binance Staked SOL,productized/wrapped assets
coingecko:jupiter-perpetuals-liquidity-provider-token,jupiter-perpetuals-liquidity-provider-token,coingecko:jupiter-perpetuals-liquidity-provider-token,JLP,Jupiter Perpetuals Liquidity Provider Token,other risk assets
coingecko:ethena,ethena,coingecko:ethena,ENA,Ethena,other risk assets
coingecko:gatechain-token,gatechain-token,coingecko:gatechain-token,GT,Gate,other risk assets
coingecko:jito-staked-sol,jito-staked-sol,coingecko:jito-staked-sol,JITOSOL,Jito Staked SOL,productized/wrapped assets
coingecko:ignition-fbtc,ignition-fbtc,coingecko:ignition-fbtc,FBTC,Function FBTC,other risk assets
coingecko:venice-token,venice-token,coingecko:venice-token,VVV,Venice Token,other risk assets
coingecko:rocket-pool-eth,rocket-pool-eth,coingecko:rocket-pool-eth,RETH,Rocket Pool ETH,productized/wrapped assets
coingecko:janus-henderson-anemoy-aaa-clo-fund,janus-henderson-anemoy-aaa-clo-fund,coingecko:janus-henderson-anemoy-aaa-clo-fund,JAAA,Janus Henderson Anemoy AAA CLO Fund,other risk assets
coingecko:lombard-staked-btc,lombard-staked-btc,coingecko:lombard-staked-btc,LBTC,Lombard Staked BTC,productized/wrapped assets
coingecko:flare-networks,flare-networks,coingecko:flare-networks,FLR,Flare,other risk assets
coingecko:just,just,coingecko:just,JST,JUST,other risk assets
coingecko:bianrensheng,bianrensheng,coingecko:bianrensheng,币安人生,币安人生 (BinanceLife),other risk assets
coingecko:jupiter-exchange-solana,jupiter-exchange-solana,coingecko:jupiter-exchange-solana,JUP,Jupiter,other risk assets
coingecko:polygon-pos-bridged-dai-polygon-pos,polygon-pos-bridged-dai-polygon-pos,coingecko:polygon-pos-bridged-dai-polygon-pos,DAI,Polygon PoS Bridged DAI (Polygon POS),stable-like assets
coingecko:merlin-s-seal-btc,merlin-s-seal-btc,coingecko:merlin-s-seal-btc,M-BTC,Merlin's Seal BTC,other risk assets
coingecko:beldex,beldex,coingecko:beldex,BDX,Beldex,other risk assets
coingecko:filecoin,filecoin,coingecko:filecoin,FIL,Filecoin,other risk assets
coingecko:liquid-staked-ethereum,liquid-staked-ethereum,coingecko:liquid-staked-ethereum,LSETH,Liquid Staked ETH,productized/wrapped assets
coingecko:xdce-crowd-sale,xdce-crowd-sale,coingecko:xdce-crowd-sale,XDC,XDC Network,other risk assets
coingecko:gho,gho,coingecko:gho,GHO,GHO,other risk assets
coingecko:aptos,aptos,coingecko:aptos,APT,Aptos,other risk assets
coingecko:midnight-3,midnight-3,coingecko:midnight-3,NIGHT,Midnight,other risk assets
coingecko:ylds,ylds,coingecko:ylds,YLDS,YLDS,other risk assets
coingecko:injective-protocol,injective-protocol,coingecko:injective-protocol,INJ,Injective,other risk assets
coingecko:usual-usd,usual-usd,coingecko:usual-usd,USD0,Usual USD,stable-like assets
coingecko:pump-fun,pump-fun,coingecko:pump-fun,PUMP,Pump.fun,other risk assets
coingecko:arbitrum,arbitrum,coingecko:arbitrum,ARB,Arbitrum,other risk assets
coingecko:spiko-amundi-overnight-swap-fund-eur,spiko-amundi-overnight-swap-fund-eur,coingecko:spiko-amundi-overnight-swap-fund-eur,EURSAFO,Spiko Amundi Overnight Swap Fund (EUR),other risk assets
coingecko:hash-2,hash-2,coingecko:hash-2,HASH,Provenance Blockchain,other risk assets
coingecko:usx,usx,coingecko:usx,USX,USX,other risk assets
coingecko:l2-standard-bridged-weth-base,l2-standard-bridged-weth-base,coingecko:l2-standard-bridged-weth-base,WETH,L2 Standard Bridged WETH (Base),productized/wrapped assets
coingecko:true-usd,true-usd,coingecko:true-usd,TUSD,TrueUSD,stable-like assets
coingecko:dash,dash,coingecko:dash,DASH,Dash,other risk assets
coingecko:fetch-ai,fetch-ai,coingecko:fetch-ai,FET,Artificial Superintelligence Alliance,other risk assets
coingecko:humanity,humanity,coingecko:humanity,H,Humanity,other risk assets
coingecko:ousg,ousg,coingecko:ousg,OUSG,Ondo Short-Term U.S. Government Bond Fund,other risk assets
coingecko:official-trump,official-trump,coingecko:official-trump,TRUMP,Official Trump,other risk assets
coingecko:adi-token,adi-token,coingecko:adi-token,ADI,ADI,other risk assets
coingecko:arbitrum-bridged-wbtc-arbitrum-one,arbitrum-bridged-wbtc-arbitrum-one,coingecko:arbitrum-bridged-wbtc-arbitrum-one,WBTC,Arbitrum Bridged WBTC (Arbitrum One),productized/wrapped assets
coingecko:pancakeswap-token,pancakeswap-token,coingecko:pancakeswap-token,CAKE,PancakeSwap,other risk assets
coingecko:vechain,vechain,coingecko:vechain,VET,VeChain,other risk assets
coingecko:kite-2,kite-2,coingecko:kite-2,KITE,Kite,other risk assets
coingecko:pudgy-penguins,pudgy-penguins,coingecko:pudgy-penguins,PENGU,Pudgy Penguins,other risk assets
coingecko:euro-coin,euro-coin,coingecko:euro-coin,EURC,EURC,other risk assets
coingecko:polymarket-usd,polymarket-usd,coingecko:polymarket-usd,PUSD,Polymarket USD,other risk assets
coingecko:solv-btc,solv-btc,coingecko:solv-btc,SOLVBTC,Solv Protocol BTC,other risk assets
coingecko:bonk,bonk,coingecko:bonk,BONK,Bonk,other risk assets
coingecko:lighter,lighter,coingecko:lighter,LIT,Lighter,other risk assets
coingecko:virtual-protocol,virtual-protocol,coingecko:virtual-protocol,VIRTUAL,Virtuals Protocol,other risk assets
coingecko:syrupusdt,syrupusdt,coingecko:syrupusdt,SYRUPUSDT,syrupUSDT,other risk assets
coingecko:aerodrome-finance,aerodrome-finance,coingecko:aerodrome-finance,AERO,Aerodrome Finance,other risk assets
coingecko:binance-peg-xrp,binance-peg-xrp,coingecko:binance-peg-xrp,XRP,Binance-Peg XRP,selected majors ex BTC/ETH
coingecko:wrapped-flare,wrapped-flare,coingecko:wrapped-flare,WFLR,Wrapped Flare,productized/wrapped assets
coingecko:jupiter-staked-sol,jupiter-staked-sol,coingecko:jupiter-staked-sol,JUPSOL,Jupiter Staked SOL,productized/wrapped assets
coingecko:hastra-prime,hastra-prime,coingecko:hastra-prime,PRIME,PRIME,other risk assets
coingecko:terra-luna,terra-luna,coingecko:terra-luna,LUNC,Terra Luna Classic,other risk assets
coingecko:wrapped-hype,wrapped-hype,coingecko:wrapped-hype,WHYPE,Wrapped HYPE,productized/wrapped assets
coingecko:mantle-staked-ether,mantle-staked-ether,coingecko:mantle-staked-ether,METH,Mantle Staked Ether,productized/wrapped assets
coingecko:curve-dao-token,curve-dao-token,coingecko:curve-dao-token,CRV,Curve DAO,other risk assets
coingecko:sei-network,sei-network,coingecko:sei-network,SEI,Sei,other risk assets
coingecko:eni-bridged-usdt-eni,eni-bridged-usdt-eni,coingecko:eni-bridged-usdt-eni,USDT,ENI Bridged USDT (ENI),stable-like assets
coingecko:blockstack,blockstack,coingecko:blockstack,STX,Stacks,other risk assets
coingecko:the9bit,the9bit,coingecko:the9bit,9BIT,The9bit,other risk assets
coingecko:skyai,skyai,coingecko:skyai,SKYAI,SkyAI,other risk assets
coingecko:first-digital-usd,first-digital-usd,coingecko:first-digital-usd,FDUSD,First Digital USD,stable-like assets
coingecko:jito-governance-token,jito-governance-token,coingecko:jito-governance-token,JTO,Jito,other risk assets
coingecko:kraken-wrapped-btc,kraken-wrapped-btc,coingecko:kraken-wrapped-btc,KBTC,Kraken Wrapped BTC,productized/wrapped assets
coingecko:celestia,celestia,coingecko:celestia,TIA,Celestia,other risk assets
coingecko:kinesis-gold,kinesis-gold,coingecko:kinesis-gold,KAU,Kinesis Gold,other risk assets
coingecko:tbtc,tbtc,coingecko:tbtc,TBTC,tBTC,other risk assets
coingecko:sun-token,sun-token,coingecko:sun-token,SUN,Sun Token,other risk assets
coingecko:gteth,gteth,coingecko:gteth,GTETH,GTETH,other risk assets
coingecko:spx6900,spx6900,coingecko:spx6900,SPX,SPX6900,other risk assets
coingecko:ethgas-2,ethgas-2,coingecko:ethgas-2,GWEI,ETHGas,other risk assets
coingecko:pyth-network,pyth-network,coingecko:pyth-network,PYTH,Pyth Network,other risk assets
coingecko:wrapped-ether-mantle-bridge,wrapped-ether-mantle-bridge,coingecko:wrapped-ether-mantle-bridge,WETH,Mantle Bridged WETH (Mantle),productized/wrapped assets
coingecko:ether-fi,ether-fi,coingecko:ether-fi,ETHFI,Ether.fi,other risk assets
coingecko:susdai,susdai,coingecko:susdai,SUSDAI,Staked USDai,productized/wrapped assets
coingecko:unibase,unibase,coingecko:unibase,UB,Unibase,other risk assets
coingecko:gnosis,gnosis,coingecko:gnosis,GNO,Gnosis,other risk assets
coingecko:coinbase-wrapped-staked-eth,coinbase-wrapped-staked-eth,coingecko:coinbase-wrapped-staked-eth,CBETH,Coinbase Wrapped Staked ETH,productized/wrapped assets
coingecko:binance-peg-busd,binance-peg-busd,coingecko:binance-peg-busd,BUSD,Binance-Peg BUSD,stable-like assets
coingecko:layerzero,layerzero,coingecko:layerzero,ZRO,LayerZero,other risk assets
coingecko:grass,grass,coingecko:grass,GRASS,Grass,other risk assets
coingecko:arbitrum-bridged-weth-arbitrum-one,arbitrum-bridged-weth-arbitrum-one,coingecko:arbitrum-bridged-weth-arbitrum-one,WETH,Arbitrum Bridged WETH (Arbitrum One),productized/wrapped assets
coingecko:zebec-network,zebec-network,coingecko:zebec-network,ZBCN,Zebec Network,other risk assets
coingecko:monad,monad,coingecko:monad,MON,Monad,other risk assets
coingecko:bittorrent,bittorrent,coingecko:bittorrent,BTT,BitTorrent,other risk assets
coingecko:apenft,apenft,coingecko:apenft,NFT,AINFT,other risk assets
coingecko:kinesis-silver,kinesis-silver,coingecko:kinesis-silver,KAG,Kinesis Silver,other risk assets
coingecko:steakhouse-usdc-base-morpho-vault,steakhouse-usdc-base-morpho-vault,coingecko:steakhouse-usdc-base-morpho-vault,STEAKUSDC,Steakhouse USDC (Base) Morpho Vault,other risk assets
coingecko:tezos,tezos,coingecko:tezos,XTZ,Tezos,other risk assets
coingecko:chiliz,chiliz,coingecko:chiliz,CHZ,Chiliz,other risk assets
coingecko:bitcoin-cash-sv,bitcoin-cash-sv,coingecko:bitcoin-cash-sv,BSV,Bitcoin SV,other risk assets
coingecko:stakewise-v3-oseth,stakewise-v3-oseth,coingecko:stakewise-v3-oseth,OSETH,StakeWise Staked ETH,productized/wrapped assets
