date,asset,window_days,feature_id,feature_label,beta,correlation,sample_count,n,timing
2020-11-16,BTC,180,iwm_ret,IWM return,0.5548188566258899,0.342809709917764,100,100,contemporaneous
2020-11-16,BTC,180,dxy_ret,DXY return,-1.140346839510465,-0.13764806289339085,180,180,contemporaneous
2020-11-16,BTC,180,gold_ret,Gold return,1.1701941312801136,0.42727261755628815,180,180,contemporaneous
2020-11-16,BTC,180,vix_d1,VIX change,-0.005355936382107832,-0.3746881807492595,180,180,contemporaneous
2020-11-16,BTC,180,real_yield_d1,Real-yield change,-0.12434466759513721,-0.10791461169130587,180,180,contemporaneous
2020-11-16,BTC,180,nominal_10y_d1,10Y yield change,0.13360527780231754,0.1529408291239899,180,180,contemporaneous
2020-11-30,BTC,180,qqq_ret,QQQ return,0.7033022872866111,0.37687773377175926,180,180,contemporaneous
2020-11-30,BTC,180,spy_ret,SPY return,0.9139738234357104,0.3775673755479867,180,180,contemporaneous
2020-11-30,BTC,180,dxy_ret,DXY return,-1.0274075043878879,-0.11974951225066051,180,180,contemporaneous
2020-11-30,BTC,180,gold_ret,Gold return,1.012929164725528,0.3793484061305312,180,180,contemporaneous
2020-11-30,BTC,180,vix_d1,VIX change,-0.005773776349675344,-0.4078843958641267,180,180,contemporaneous
2020-11-30,BTC,180,real_yield_d1,Real-yield change,-0.08374058819598461,-0.07392877949310296,180,180,contemporaneous
2020-11-30,BTC,180,nominal_10y_d1,10Y yield change,0.11698647399097359,0.13688618286110799,180,180,contemporaneous
2020-12-14,BTC,180,qqq_ret,QQQ return,0.6207275254176328,0.3047619855532294,180,180,contemporaneous
2020-12-14,BTC,180,spy_ret,SPY return,0.8433532782310338,0.29133753184833466,180,180,contemporaneous
2020-12-14,BTC,180,dxy_ret,DXY return,-0.844136815472095,-0.0897629337726896,180,180,contemporaneous
2020-12-14,BTC,180,gold_ret,Gold return,0.863916214915584,0.30820163155578983,180,180,contemporaneous
2020-12-14,BTC,180,vix_d1,VIX change,-0.006184975811800884,-0.3390691938308975,180,180,contemporaneous
2020-12-14,BTC,180,real_yield_d1,Real-yield change,-0.17141096988413748,-0.13091175049301443,180,180,contemporaneous
2020-12-14,BTC,180,nominal_10y_d1,10Y yield change,0.06745014585219158,0.06902602439955297,180,180,contemporaneous
2020-12-28,BTC,180,qqq_ret,QQQ return,0.6434971594641887,0.2888910874944849,180,180,contemporaneous
2020-12-28,BTC,180,spy_ret,SPY return,0.8427131297801281,0.25798378767246205,180,180,contemporaneous
2020-12-28,BTC,180,dxy_ret,DXY return,-0.6030449744384527,-0.06016890545493368,180,180,contemporaneous
2020-12-28,BTC,180,gold_ret,Gold return,0.8904236197774178,0.29957859745631255,180,180,contemporaneous
2020-12-28,BTC,180,vix_d1,VIX change,-0.006438654628571325,-0.32291246649967903,180,180,contemporaneous
2020-12-28,BTC,180,real_yield_d1,Real-yield change,-0.19483344335118477,-0.13359996351509254,180,180,contemporaneous
2020-12-28,BTC,180,nominal_10y_d1,10Y yield change,0.04017533566623892,0.038237050055238024,180,180,contemporaneous
