metric,date,value
dex_volume_usd,2019-05-31,54467116.0
dex_volume_usd,2019-06-30,70716865.0
dex_volume_usd,2019-07-31,60278126.0
dex_volume_usd,2019-08-31,53100533.0
dex_volume_usd,2019-09-30,35764555.0
dex_volume_usd,2019-10-31,31873869.0
dex_volume_usd,2019-11-30,56974962.0
dex_volume_usd,2019-12-31,63698882.0
dex_volume_usd,2020-01-31,65906121.0
dex_volume_usd,2020-02-29,150189302.0
dex_volume_usd,2020-03-31,223287901.0
dex_volume_usd,2020-04-30,172375938.0
dex_volume_usd,2020-05-31,281425661.0
dex_volume_usd,2020-06-30,606076546.0
dex_volume_usd,2020-07-31,1712824717.0
dex_volume_usd,2020-08-31,6762732368.0
dex_volume_usd,2020-09-30,19725096455.0
dex_volume_usd,2020-10-31,12848379444.0
dex_volume_usd,2020-11-30,12762537560.0
dex_volume_usd,2020-12-31,16861373249.0
dex_volume_usd,2021-01-31,44407244174.0
dex_volume_usd,2021-02-28,73482622428.0
dex_volume_usd,2021-03-31,74792768481.0
dex_volume_usd,2021-04-30,136146586094.0
dex_volume_usd,2021-05-31,279680836012.0
dex_volume_usd,2021-06-30,117002029891.0
dex_volume_usd,2021-07-31,93576417439.0
dex_volume_usd,2021-08-31,137472097581.0
dex_volume_usd,2021-09-30,149653897526.0
dex_volume_usd,2021-10-31,193424114222.0
dex_volume_usd,2021-11-30,290297114050.0
dex_volume_usd,2021-12-31,251305019081.0
dex_volume_usd,2022-01-31,215922269120.0
dex_volume_usd,2022-02-28,158495171666.0
dex_volume_usd,2022-03-31,152750669183.0
dex_volume_usd,2022-04-30,148063282745.0
dex_volume_usd,2022-05-31,163835641363.0
dex_volume_usd,2022-06-30,95111999440.0
dex_volume_usd,2022-07-31,76369731862.0
dex_volume_usd,2022-08-31,85227103561.0
dex_volume_usd,2022-09-30,70287475298.0
dex_volume_usd,2022-10-31,58091144180.0
dex_volume_usd,2022-11-30,102305692773.0
dex_volume_usd,2022-12-31,44740460787.0
dex_volume_usd,2023-01-31,67479216655.0
dex_volume_usd,2023-02-28,83515376665.0
dex_volume_usd,2023-03-31,116598664734.0
dex_volume_usd,2023-04-30,74563076784.0
dex_volume_usd,2023-05-31,70787925538.0
dex_volume_usd,2023-06-30,68923207693.0
dex_volume_usd,2023-07-31,58939441657.0
dex_volume_usd,2023-08-31,57269375922.0
dex_volume_usd,2023-09-30,44989589037.0
dex_volume_usd,2023-10-31,60565779439.0
dex_volume_usd,2023-11-30,97599098750.0
dex_volume_usd,2023-12-31,135417414471.0
dex_volume_usd,2024-01-31,131915720588.0
dex_volume_usd,2024-02-29,117900538640.0
dex_volume_usd,2024-03-31,253962531924.0
dex_volume_usd,2024-04-30,185652694575.0
dex_volume_usd,2024-05-31,171292588548.0
dex_volume_usd,2024-06-30,261270074688.0
dex_volume_usd,2024-07-31,182126195081.0
dex_volume_usd,2024-08-31,164376875971.0
dex_volume_usd,2024-09-30,125546498187.0
dex_volume_usd,2024-10-31,189802106176.0
dex_volume_usd,2024-11-30,378398343848.0
dex_volume_usd,2024-12-31,403602943561.0
dex_volume_usd,2025-01-31,538822255692.0
dex_volume_usd,2025-02-28,357736981292.0
dex_volume_usd,2025-03-31,241729066443.0
dex_volume_usd,2025-04-30,243809698121.0
dex_volume_usd,2025-05-31,380877527821.0
dex_volume_usd,2025-06-30,325565873425.0
dex_volume_usd,2025-07-31,411348082079.0
dex_volume_usd,2025-08-31,474301316880.0
dex_volume_usd,2025-09-30,456223319668.0
dex_volume_usd,2025-10-31,539445204747.0
dex_volume_usd,2025-11-30,383988263537.0
dex_volume_usd,2025-12-31,297778414564.0
dex_volume_usd,2026-01-31,307702628763.0
dex_volume_usd,2026-02-28,258050054478.0
dex_volume_usd,2026-03-31,194003142610.0
dex_volume_usd,2026-04-30,90239085002.0
